Subject,Set Size,mean_abs_err,sd_signed
0,1,2.110723397731781,2.2807469750777734
0,2,5.4089268642663955,7.47506755345081
0,4,17.900132007300854,29.948189628343364
0,6,30.078026708165805,47.75576142463384
1,1,1.9139815282821655,2.37046872096487
1,2,5.248815315961838,7.13025503673146
1,4,18.338056589066984,33.404381500532665
1,6,32.17327264090379,51.45923369631647
2,1,1.9571573090553285,2.4859953585776875
2,2,5.566823155879974,7.062644567618426
2,4,20.680333285033704,36.69560885380747
2,6,34.865464310844736,54.754193687207426
3,1,2.070499608516693,2.5250893167649298
3,2,5.319748477339744,7.045346692207299
3,4,19.316246140301228,35.1678885095962
3,6,32.75285476167997,52.26771995931086
4,1,2.0898866164684295,2.500281828835529
4,2,5.174079974293709,6.717245499212045
4,4,16.966817180216314,28.066153736099384
4,6,32.01239554266135,50.872998223835864
5,1,2.0259878492355345,2.315362541703257
5,2,5.743704450130463,7.456023851971355
5,4,17.10857196688652,31.182090879995638
5,6,33.784726135929425,52.85497898479579
6,1,1.9736473309993743,2.290856062290416
6,2,5.150666735172272,6.718754916649523
6,4,17.426120744645594,30.558527109880913
6,6,31.879893224040668,49.74291626856882
7,1,3.6554025340080263,13.951679404873913
7,2,5.242367033958435,7.155763493017203
7,4,19.88155947357416,36.351579696395305
7,6,34.67230269650618,56.71477217082766
8,1,3.1951226317882537,14.36264709305016
8,2,5.540221843719483,7.758119348870642
8,4,19.8558489882946,36.888154870081976
8,6,31.714419975280762,51.02625604518762
9,1,1.9721433210372925,2.5960734001664076
9,2,4.7777293556928635,6.1916187874771875
9,4,19.07267368376255,34.40982196874615
9,6,33.18975890755653,53.291716556246506
