Distance_deg,Encoding_Epochs,Bias_pct,Bias_deg,Subject
20,50,-36.0,4.205068283081054,0
45,50,-24.0,6.460947728157043,0
90,50,16.0,-3.5837881660461424,0
135,50,28.0,-4.198052902221679,0
20,100,-28.0,4.277214384078979,0
45,100,-18.0,3.8234534239768982,0
90,100,32.0,-7.914819660186768,0
135,100,48.0,-7.837994728088379,0
20,150,-26.0,3.446964762210846,0
45,150,-4.0,0.6103617477416993,0
90,150,48.0,-13.292701177597046,0
135,150,50.0,-7.510809237957001,0
20,200,-12.0,1.7474086856842042,0
45,200,18.0,-5.596768202781678,0
90,200,48.0,-12.969081916809081,0
135,200,50.0,-6.167186431884765,0
20,50,-26.0,4.552143762111664,1
45,50,-34.0,6.393761224746704,1
90,50,32.0,-5.782507448196411,1
135,50,34.0,-3.000614447593689,1
20,100,-34.0,4.2697475099563595,1
45,100,-28.0,6.111254382133484,1
90,100,32.0,-7.475042867660522,1
135,100,42.0,-7.224791564941406,1
20,150,-24.0,3.329138216972351,1
45,150,16.0,-4.12200576543808,1
90,150,50.0,-12.294094960689545,1
135,150,48.0,-7.57922087430954,1
20,200,-6.0,1.1882449722290038,1
45,200,24.0,-6.933594093322754,1
90,200,48.0,-12.19704731464386,1
135,200,48.0,-6.452092227935791,1
20,50,-32.0,5.191253144741058,2
45,50,-32.0,7.6987744903564455,2
90,50,16.0,-4.408803248405457,2
135,50,22.0,-5.091978673934936,2
20,100,-24.0,3.2927583718299864,2
45,100,-10.0,2.631696996688843,2
90,100,46.0,-11.018107252120972,2
135,100,48.0,-5.713706150054931,2
20,150,-28.0,3.6351526737213136,2
45,150,12.0,-2.8908637452125547,2
90,150,46.0,-10.490584964752196,2
135,150,46.0,-7.3910313630104065,2
20,200,-14.0,2.1244549226760863,2
45,200,18.0,-3.8279111051559447,2
90,200,48.0,-12.879499788284301,2
135,200,46.0,-6.820278921127319,2
20,50,-28.0,4.330195486545563,3
45,50,-21.999999999999996,6.19114324092865,3
90,50,28.0,-3.980391082763672,3
135,50,26.0,-3.0021164298057554,3
20,100,-30.0,4.799999389648438,3
45,100,-24.0,4.768413047790528,3
90,100,46.0,-11.197047431468963,3
135,100,46.0,-7.0600566577911374,3
20,150,-18.0,2.841892275810242,3
45,150,6.000000000000007,-2.548635845184326,3
90,150,48.0,-13.16033447265625,3
135,150,46.0,-7.22896915435791,3
20,200,2.0,0.6930368161201477,3
45,200,28.0,-5.949527492523194,3
90,200,50.0,-13.61599024772644,3
135,200,48.0,-6.174819061756134,3
20,50,-38.0,4.812865924835205,4
45,50,-28.0,6.940444424152374,4
90,50,6.000000000000007,-2.9662403106689452,4
135,50,30.0,-5.944179108142853,4
20,100,-36.0,4.216324391365052,4
45,100,0.0,0.13688097953796385,4
90,100,46.0,-9.36217188835144,4
135,100,46.0,-6.414261569976807,4
20,150,-28.0,4.355264408588409,4
45,150,7.999999999999993,-4.056824750900269,4
90,150,44.0,-11.918050639629364,4
135,150,48.0,-5.3080228805542,4
20,200,-6.0,0.9805012845993042,4
45,200,16.0,-2.9976604557037354,4
90,200,48.0,-10.677326583862305,4
135,200,46.0,-7.658831481933594,4
20,50,-28.0,2.858884434700012,5
45,50,-36.0,7.231643538475037,5
90,50,10.0,-0.6467413139343262,5
135,50,26.0,-4.413370141983032,5
20,100,-30.0,3.8632303857803345,5
45,100,-8.0,1.100890769958496,5
90,100,38.0,-9.45242493867874,5
135,100,48.0,-7.88044584274292,5
20,150,-21.999999999999996,3.132923893928528,5
45,150,7.999999999999993,-0.8739834356307984,5
90,150,48.0,-13.006742362976075,5
135,150,46.0,-7.421894404888153,5
20,200,-2.0,1.4642339158058166,5
45,200,0.0,-1.1060720348358155,5
90,200,50.0,-12.360389211177825,5
135,200,50.0,-7.146463665962219,5
20,50,-28.0,4.0993305015563966,6
45,50,-16.0,5.767018642425537,6
90,50,16.0,-2.763342568874359,6
135,50,28.0,-5.349804475307464,6
20,100,-26.0,3.9828405165672303,6
45,100,-21.999999999999996,5.056489613056183,6
90,100,42.0,-10.530194339752198,6
135,100,46.0,-6.680836296081543,6
20,150,-4.0,1.0120904278755187,6
45,150,14.0,-2.8989402055740356,6
90,150,44.0,-11.767576217651367,6
135,150,46.0,-7.415766367912292,6
20,200,-18.0,2.118271479606628,6
45,200,14.0,-5.094373664855957,6
90,200,50.0,-11.776991357803345,6
135,200,44.0,-6.824735012054443,6
20,50,-36.0,4.859388103485108,7
45,50,-30.0,5.791252307891845,7
90,50,16.0,-1.0869102096557617,7
135,50,22.0,-4.489692714214325,7
20,100,-20.0,2.818216280937195,7
45,100,-18.0,3.6725896835327148,7
90,100,40.0,-9.629304256439209,7
135,100,44.0,-6.2615617084503175,7
20,150,-10.0,1.7265173935890197,7
45,150,4.0,-2.0713098669052123,7
90,150,44.0,-13.0620054769516,7
135,150,50.0,-8.684902057647705,7
20,200,-2.0,1.849359860420227,7
45,200,26.0,-6.945850663185119,7
90,200,46.0,-11.104734897613525,7
135,200,44.0,-6.6932574343681335,7
20,50,-38.0,4.638829417228699,8
45,50,-34.0,6.021114292144776,8
90,50,16.0,-3.279052727222443,8
135,50,24.0,-6.215096821784973,8
20,100,-36.0,4.369694204330444,8
45,100,-21.999999999999996,3.8654594898223875,8
90,100,32.0,-8.577604637145996,8
135,100,46.0,-7.658773732185364,8
20,150,-24.0,3.5050686860084532,8
45,150,2.0,-0.9301395869255066,8
90,150,46.0,-12.199665069580078,8
135,150,50.0,-8.505459032058717,8
20,200,-6.0,1.746014919281006,8
45,200,16.0,-6.034762508869171,8
90,200,50.0,-11.896268320083617,8
135,200,44.0,-5.732313671112061,8
20,50,-34.0,4.449023685455322,9
45,50,-30.0,7.044512219429016,9
90,50,26.0,-4.960333678722382,9
135,50,30.0,-4.802953147888184,9
20,100,-36.0,4.779943008422851,9
45,100,-20.0,4.470249500274658,9
90,100,34.0,-9.883286788463593,9
135,100,44.0,-4.836936635971069,9
20,150,-12.0,1.0250123405456544,9
45,150,14.0,-2.1911398696899416,9
90,150,50.0,-13.577491278648376,9
135,150,50.0,-8.577048065662384,9
20,200,-4.0,0.38495795249938963,9
45,200,16.0,-3.971031494140625,9
90,200,48.0,-11.995821838378907,9
135,200,46.0,-6.5261272525787355,9
